"","Random Intercept Std.","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc"
"animals","4.12004569796136","-1.87","-2.97 to -0.78","0.0009327643","0.0102604076523302"," 0.20","-0.6 to 1.01","0.6233242730",">.99"," 0.25","-0.86 to 1.35","0.6636237164",">.99"," 0.05","-2.46 to 2.55","0.9700944292",">.99","-0.96","-1.79 to -0.13","0.0241791173","0.265970290142805"," 0.14","-0.63 to 0.91","0.7258125152",">.99"
"letter_fluency","9.66739538501749","-1.87","-4.27 to 0.53","0.1299923",">.99","-0.01","-1.78 to 1.76","0.9906699",">.99"," 1.48","-0.95 to 3.91","0.2372086",">.99"," 0.05","-5.49 to 5.58","0.9872276",">.99","-1.27","-3.09 to 0.54","0.1718737",">.99"," 0.13","-1.56 to 1.82","0.8782997",">.99"
"hvlt_total_recall","3.82998694475403","-2.10","-3.11 to -1.09","5.642967e-05","0.000620726340985237","-0.20","-0.94 to 0.54","5.918056e-01",">.99"," 0.28","-0.74 to 1.3","5.922224e-01",">.99"," 0.27","-2.03 to 2.58","8.169640e-01",">.99","-0.34","-1.1 to 0.42","3.796987e-01",">.99"," 0.59","-0.12 to 1.29","1.061577e-01",">.99"
"hvlt_RDI","1.31118648789796","-0.63","-1.01 to -0.24","0.001501636","0.0165179914052459"," 0.15","-0.13 to 0.43","0.298021871",">.99"," 0.25","-0.13 to 0.63","0.199843580",">.99"," 0.18","-0.68 to 1.04","0.690828149",">.99"," 0.04","-0.25 to 0.32","0.805906705",">.99"," 0.13","-0.13 to 0.4","0.334478183",">.99"
"hvlt_trial4_correct","1.98934381169147","-0.73","-1.32 to -0.15","0.01527207","0.167992783387792"," 0.12","-0.31 to 0.55","0.58026071",">.99"," 0.18","-0.4 to 0.77","0.54846006",">.99"," 0.10","-1.22 to 1.42","0.88579947",">.99"," 0.00","-0.44 to 0.44","0.99591114",">.99"," 0.39","-0.02 to 0.8","0.06266720","0.689339192601999"
"jolo_total_correct","1.67184716589177","-1.02","-1.48 to -0.57","1.383998e-05","0.000152239789118672","-0.22","-0.55 to 0.12","2.053127e-01",">.99"," 0.38","-0.07 to 0.84","1.023620e-01",">.99"," 0.31","-0.72 to 1.35","5.554125e-01",">.99","-0.39","-0.73 to -0.05","2.689494e-02","0.295844387107404"," 0.06","-0.26 to 0.38","7.102411e-01",">.99"
"wais_digit_symbol_score","9.13848325471509","-5.19","-7.47 to -2.91","1.059646e-05","0.000116561044513725"," 0.01","-1.67 to 1.7","9.864678e-01",">.99"," 1.17","-1.14 to 3.48","3.250315e-01",">.99","-2.31","-7.56 to 2.96","3.928364e-01",">.99","-1.57","-3.29 to 0.16","7.695295e-02","0.846482423538151"," 0.33","-1.27 to 1.94","6.886414e-01",">.99"
"letter_number_sequencing_total","1.7720422545059","-1.03","-1.51 to -0.55","2.916967e-05","0.000320866394998856"," 0.08","-0.27 to 0.43","6.690586e-01",">.99"," 0.39","-0.09 to 0.87","1.092225e-01",">.99"," 0.26","-0.82 to 1.35","6.357436e-01",">.99","-0.16","-0.52 to 0.2","3.844694e-01",">.99"," 0.36","0.03 to 0.69","3.679285e-02","0.40472139862876"
"trails_a_seconds_utc150","18.2087538181996","12.47","7.76 to 17.18","3.296411e-07","3.62605159340249e-06","-2.27","-5.73 to 1.2","2.026679e-01",">.99","-2.00","-6.76 to 2.75","4.123042e-01",">.99","-4.91","-15.69 to 5.88","3.765473e-01",">.99"," 2.12","-1.43 to 5.68","2.446400e-01",">.99","-1.86","-5.16 to 1.44","2.740957e-01",">.99"
"trails_b_seconds_utc300","53.4917458232239"," 44.10","30.13 to 58.09","1.288232e-09","1.41705502893887e-08"," -8.16","-18.43 to 2.11","1.224032e-01",">.99","-11.94","-26.04 to 2.15","9.944045e-02",">.99","-15.62","-47.62 to 16.35","3.420780e-01",">.99","  5.63","-4.89 to 16.17","2.985284e-01",">.99"," -9.82","-19.64 to -0.05","5.108807e-02","0.561968799494568"
"moca_score_unadjusted","2.59564250465642","-1.89","-2.59 to -1.2","1.533181e-07","1.68649941370246e-06"," 0.32","-0.19 to 0.83","2.226953e-01",">.99"," 0.47","-0.23 to 1.17","1.890108e-01",">.99","-0.58","-2.16 to 1.01","4.786516e-01",">.99","-0.36","-0.88 to 0.16","1.805544e-01",">.99"," 0.28","-0.2 to 0.77","2.620991e-01",">.99"
"1","Intercept","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","APOE_E41","APOE_E41","APOE_E41","APOE_E41","MAPT1","MAPT1","MAPT1","MAPT1"
