"","Random Intercept Std.","agevisit Est.","Coef.","CI","P","Pc","Coef..1","CI.1","P.1","Pc.1","Coef..2","CI.2","P.2","Pc.2","Coef..3","CI.3","P.3","Pc.3","Coef..4","CI.4","P.4","Pc.4","Coef..5","CI.5","P.5","Pc.5"
"animals","4.11521326491047","-0.217902146595712","-2.58","-3.98 to -1.17","0.0004998486","0.00499848633148835","-2.61","-4.34 to -0.89","0.0040014664","0.0400146636095313"," 1.57","-2.02 to 5.14","0.4002886590",">.99"," 0.12","-1.2 to 1.45","0.8576027812",">.99"," 0.28","-1.18 to 1.74","0.7144406105",">.99"," 0.79","-1.18 to 2.76","0.4442041263",">.99"
"letter_fluency","9.33628720514505","-0.321495063668995","-3.80","-6.94 to -0.67","0.02027772","0.202777243597387","-3.44","-7.29 to 0.42","0.08717947","0.871794672909974","-2.82","-10.82 to 5.17","0.49824703",">.99"," 0.69","-2.27 to 3.65","0.65409774",">.99"," 1.08","-2.18 to 4.34","0.52409501",">.99"," 4.31","-0.08 to 8.74","0.06072475","0.607247486514615"
"hvlt_total_recall","3.7611782800074","-0.208392494974391","-0.72","-2.03 to 0.58","0.2905254",">.99","-1.70","-3.31 to -0.09","0.0433508","0.433508049631308","-1.18","-4.52 to 2.14","0.4952159",">.99"," 0.43","-0.8 to 1.67","0.5033667",">.99","-0.36","-1.72 to 1","0.6082927",">.99"," 1.16","-0.67 to 2.99","0.2261434",">.99"
"hvlt_RDI","1.0257202627434","-0.0551794774784085","-0.32","-0.72 to 0.09","0.13473143",">.99","-0.60","-1.09 to -0.09","0.02259795","0.225979502791281"," 0.10","-0.92 to 1.12","0.84868170",">.99"," 0.39","0.01 to 0.77","0.05126217","0.512621684844639"," 0.11","-0.31 to 0.53","0.60338309",">.99"," 0.09","-0.47 to 0.66","0.74850837",">.99"
"hvlt_trial4_correct","1.91020350924704","-0.104891748379638","-0.26","-0.99 to 0.46","0.48545039",">.99","-0.91","-1.81 to -0.01","0.05241694","0.52416935103507","-0.10","-1.96 to 1.74","0.91520227",">.99"," 0.69","0.01 to 1.38","0.05389228","0.538922753002749"," 0.65","-0.11 to 1.41","0.09984312",">.99"," 0.58","-0.43 to 1.6","0.27361998",">.99"
"jolo_total_correct","1.53371328712071","-0.0480754377130587","-0.80","-1.37 to -0.23","0.007562317","0.0756231654817008","-0.72","-1.42 to -0.02","0.050797842","0.507978424603036"," 0.95","-0.5 to 2.4","0.207214749",">.99"," 0.04","-0.49 to 0.58","0.877540513",">.99","-0.24","-0.83 to 0.36","0.447473868",">.99"," 0.16","-0.63 to 0.96","0.698916894",">.99"
"wais_digit_symbol_score","9.06633596641195","-0.637615235498119","-3.91","-6.89 to -0.92","0.012267779","0.122677794750752","-5.90","-9.58 to -2.24","0.002192537","0.0219253703111901"," 0.99","-6.63 to 8.62","0.802405810",">.99"," 0.79","-2.03 to 3.62","0.590130394",">.99","-1.25","-4.36 to 1.85","0.440388265",">.99"," 0.38","-3.82 to 4.58","0.861801698",">.99"
"letter_number_sequencing_total","1.72905854114484","-0.0908573427131112","-0.53","-1.14 to 0.09","0.1001565414",">.99","-1.33","-2.09 to -0.57","0.0008384667","0.00838466700891445"," 0.12","-1.44 to 1.68","0.8785229776",">.99"," 0.19","-0.39 to 0.77","0.5320724565",">.99"," 0.11","-0.54 to 0.74","0.7516785862",">.99"," 0.71","-0.16 to 1.57","0.1154348304",">.99"
"trailsbminusa","34.8493564622128","2.17434593834622","  8.84","-4.41 to 22.19","0.2033024019",">.99"," 28.80","12.48 to 45.32","0.0008841606","0.00884160646534085","-16.53","-50.17 to 17.3","0.3481593570",">.99"," -5.49","-18.21 to 6.99","0.4027527800",">.99"," -3.03","-16.86 to 10.86","0.6744776960",">.99"," -0.86","-19.41 to 17.7","0.9291960618",">.99"
"moca_score_unadjusted","2.24942005182401","-0.129396320613875","-0.61","-1.43 to 0.21","0.1547660278",">.99","-1.98","-3 to -0.97","0.0002164085","0.00216408468342604","-0.70","-2.78 to 1.39","0.5189772743",">.99"," 0.31","-0.47 to 1.09","0.4501810592",">.99","-0.01","-0.86 to 0.85","0.9892760071",">.99"," 0.23","-0.92 to 1.38","0.7002089539",">.99"
"1","Intercept","agevisit Coef.","APOE_E4","APOE_E4","APOE_E4","APOE_E4","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","MAPT1","MAPT1","MAPT1","MAPT1","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192"
