"","Random Intercept Std.","agevisit Est.","Coef.","CI","P","Pc","Coef..1","CI.1","P.1","Pc.1","Coef..2","CI.2","P.2","Pc.2","Coef..3","CI.3","P.3","Pc.3","Coef..4","CI.4","P.4","Pc.4","Coef..5","CI.5","P.5","Pc.5","Coef..6","CI.6","P.6","Pc.6"
"animals","4.10944236045931","-0.213255548326623"," 0.54","-1.09 to 2.17","0.5231839339",">.99","-2.45","-3.79 to -1.12","0.0005110222","0.00511022230703192","-2.62","-4.35 to -0.91","0.0037785495","0.0377854954041287"," 1.42","-2.17 to 5","0.4466740432",">.99"," 0.10","-1.22 to 1.43","0.8846106371",">.99"," 0.25","-1.21 to 1.71","0.7469595016",">.99"," 0.90","-1.07 to 2.87","0.3835381606",">.99"
"letter_fluency","9.3398507335537","-0.315690186759954"," 0.54","-3.11 to 4.19","0.77708315",">.99","-3.76","-6.75 to -0.79","0.01595412","0.15954116906761","-3.46","-7.3 to 0.39","0.08564476","0.856447646514173","-2.96","-10.99 to 5.05","0.47874254",">.99"," 0.65","-2.31 to 3.62","0.67177411",">.99"," 1.05","-2.22 to 4.31","0.53897822",">.99"," 4.50","0.11 to 8.93","0.05112657","0.511265720362001"
"hvlt_total_recall","3.75965246188244","-0.205378107456056"," 0.76","-0.76 to 2.27","0.33756692",">.99","-0.72","-1.97 to 0.52","0.26732230",">.99","-1.69","-3.3 to -0.09","0.04389238","0.438923788563869","-1.35","-4.69 to 1.98","0.43881444",">.99"," 0.39","-0.84 to 1.63","0.54888827",">.99","-0.42","-1.77 to 0.95","0.55660572",">.99"," 1.22","-0.61 to 3.05","0.20473020",">.99"
"hvlt_RDI","1.02238653355666","-0.0538630119612694"," 0.31","-0.15 to 0.78","0.19774968",">.99","-0.30","-0.69 to 0.09","0.14177948",">.99","-0.59","-1.08 to -0.09","0.02294085","0.229408472549642"," 0.04","-0.98 to 1.06","0.94073109",">.99"," 0.37","-0.01 to 0.75","0.06210433","0.621043268333058"," 0.09","-0.33 to 0.51","0.68025799",">.99"," 0.11","-0.45 to 0.67","0.70289785",">.99"
"hvlt_trial4_correct","1.91355065686486","-0.103893367109434"," 0.32","-0.53 to 1.16","0.46788422",">.99","-0.32","-1.02 to 0.38","0.38037945",">.99","-0.91","-1.8 to -0.01","0.05311950","0.531195010851218","-0.16","-2.02 to 1.68","0.86508082",">.99"," 0.68","-0.01 to 1.37","0.06164067","0.616406675089441"," 0.63","-0.13 to 1.39","0.11363610",">.99"," 0.61","-0.4 to 1.63","0.25049527",">.99"
"jolo_total_correct","1.53645376881745","-0.0479225162196665","-0.29","-0.96 to 0.36","0.39432495",">.99","-0.72","-1.27 to -0.18","0.01201044","0.120104435824896","-0.73","-1.43 to -0.03","0.04807376","0.480737614661891"," 1.00","-0.45 to 2.45","0.18760921",">.99"," 0.06","-0.47 to 0.61","0.82051051",">.99","-0.21","-0.81 to 0.39","0.49804371",">.99"," 0.17","-0.63 to 0.97","0.68531775",">.99"
"wais_digit_symbol_score","9.08594271682014","-0.634685758824276","-0.23","-3.71 to 3.25","0.898018912",">.99","-3.80","-6.63 to -0.95","0.010781861","0.107818614300854","-5.95","-9.63 to -2.29","0.002047114","0.0204711399969882"," 0.99","-6.67 to 8.65","0.803597481",">.99"," 0.83","-2 to 3.66","0.575236808",">.99","-1.20","-4.32 to 1.91","0.460403688",">.99"," 0.53","-3.68 to 4.75","0.808113315",">.99"
"letter_number_sequencing_total","1.72787700771714","-0.0892534523098054"," 0.33","-0.38 to 1.04","0.377182020",">.99","-0.50","-1.08 to 0.09","0.105723642",">.99","-1.33","-2.08 to -0.58","0.000841085","0.00841085036249628"," 0.05","-1.52 to 1.61","0.949373171",">.99"," 0.17","-0.41 to 0.75","0.574632381",">.99"," 0.08","-0.56 to 0.72","0.808233502",">.99"," 0.73","-0.13 to 1.59","0.102866493",">.99"
"trailsbminusa","34.9915112102864","2.16298808063643"," -0.94","-16.38 to 14.51","0.9068625740",">.99","  8.43","-4.31 to 21.3","0.2075781296",">.99"," 28.89","12.58 to 45.42","0.0008786484","0.00878648395087917","-16.23","-50 to 17.74","0.3598725488",">.99"," -5.50","-18.28 to 6.99","0.4038420423",">.99"," -3.05","-16.93 to 10.9","0.6748709120",">.99"," -1.17","-19.77 to 17.45","0.9045096133",">.99"
"moca_score_unadjusted","2.24777188100384","-0.126308749347963"," 0.67","-0.29 to 1.62","0.1800492457",">.99","-0.47","-1.26 to 0.31","0.2533347587",">.99","-1.98","-2.99 to -0.97","0.0002221612","0.00222161237419474","-0.85","-2.93 to 1.25","0.4390033500",">.99"," 0.27","-0.5 to 1.05","0.5036574063",">.99","-0.06","-0.91 to 0.8","0.8988762272",">.99"," 0.25","-0.9 to 1.4","0.6779139907",">.99"
"1","Intercept","agevisit Coef.","ApoE2","ApoE2","ApoE2","ApoE2","ApoE4","ApoE4","ApoE4","ApoE4","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","MAPT1","MAPT1","MAPT1","MAPT1","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192"
