"","Random Intercept Std.","agevisit Est.","Coef.","CI","P","Pc","Coef..1","CI.1","P.1","Pc.1","Coef..2","CI.2","P.2","Pc.2","Coef..3","CI.3","P.3","Pc.3","Coef..4","CI.4","P.4","Pc.4","Coef..5","CI.5","P.5","Pc.5","Coef..6","CI.6","P.6","Pc.6"
"animals","4.11496288845094","-0.216775645246248"," 0.74","-8.35 to 9.86","0.875555398",">.99","-4.12","-15.16 to 6.93","0.475596984",">.99","-0.11","-9.09 to 8.89","0.981866980",">.99","-2.24","-11.22 to 6.76","0.633780646",">.99","-5.69","-16.57 to 5.21","0.317116323",">.99","-2.67","-4.4 to -0.95","0.003290775","0.0329077509889537"," 0.16","-1.14 to 1.47","0.809923683",">.99"
"letter_fluency","9.49377680663999","-0.31890883538963"," 2.26","-18.44 to 22.99","0.83458116",">.99"," 0.23","-24.83 to 25.34","0.98579721",">.99"," 1.85","-18.58 to 22.31","0.86227201",">.99","-1.30","-21.74 to 19.17","0.90314485",">.99","-7.15","-31.75 to 17.49","0.57712310",">.99","-3.45","-7.35 to 0.46","0.09078171","0.907817088299961"," 0.54","-2.41 to 3.5","0.72443394",">.99"
"hvlt_total_recall","3.78019286218525","-0.206270785585389","-0.83","-9.3 to 7.64","0.85091724",">.99","-5.81","-16.09 to 4.49","0.28071802",">.99","-1.72","-10.07 to 6.65","0.69456243",">.99","-1.84","-10.2 to 6.52","0.67325522",">.99","-5.17","-15.34 to 5.01","0.33039333",">.99","-1.73","-3.35 to -0.12","0.04041022","0.40410217955852"," 0.49","-0.72 to 1.72","0.43890476",">.99"
"hvlt_RDI","1.01927263968327","-0.052661225576679","-0.25","-2.79 to 2.28","0.84961335",">.99","-0.30","-3.42 to 2.8","0.85152782",">.99","-0.58","-3.08 to 1.92","0.65874316",">.99","-0.79","-3.29 to 1.71","0.54733397",">.99","-2.12","-5.26 to 1.02","0.19693736",">.99","-0.60","-1.09 to -0.1","0.02165692","0.216569170315307"," 0.37","-0.01 to 0.74","0.06219942","0.62199417028108"
"hvlt_trial4_correct","1.91106381129097","-0.0994440350543042","-0.74","-5.36 to 3.88","0.76069884",">.99","-3.08","-8.73 to 2.58","0.29796507",">.99","-1.25","-5.8 to 3.31","0.60023284",">.99","-1.20","-5.75 to 3.36","0.61592793",">.99","-4.22","-9.9 to 1.46","0.15526548",">.99","-0.96","-1.86 to -0.06","0.04046763","0.404676258581341"," 0.61","-0.06 to 1.29","0.08299564","0.829956421388146"
"jolo_total_correct","1.51644691331047","-0.0540649467261558"," 0.62","-2.99 to 4.22","0.74263053",">.99","-3.46","-7.87 to 0.95","0.13436971",">.99"," 0.71","-2.85 to 4.26","0.70423852",">.99","-0.03","-3.59 to 3.52","0.98635653",">.99"," 1.46","-2.95 to 5.87","0.52681431",">.99","-0.74","-1.45 to -0.05","0.04200055","0.420005530419995"," 0.16","-0.36 to 0.69","0.55396591",">.99"
"wais_digit_symbol_score","9.05785917369762","-0.64150804827408"," -6.96","-26.5 to 12.6","0.495043666",">.99","-20.40","-44.05 to 3.24","0.098968388","0.989683879695138"," -6.74","-26.03 to 12.56","0.503124653",">.99"," -9.97","-29.26 to 9.35","0.322400188",">.99","-13.81","-36.95 to 9.35","0.252824435",">.99"," -5.97","-9.65 to -2.31","0.001974914","0.0197491441005082","  1.25","-1.52 to 4.04","0.387966050",">.99"
"letter_number_sequencing_total","1.74031700774634","-0.090963033895677"," 0.19","-3.77 to 4.16","0.9254943061",">.99"," 0.17","-4.65 to 5","0.9456856805",">.99","-0.12","-4.03 to 3.8","0.9520480118",">.99","-0.50","-4.42 to 3.42","0.8057302205",">.99","-1.54","-6.33 to 3.25","0.5377469685",">.99","-1.32","-2.08 to -0.56","0.0009714585","0.00971458519662013"," 0.19","-0.38 to 0.77","0.5303969718",">.99"
"trailsbminusa","34.7503653990786","2.18015443261976","-7.34","-91.59 to 76.74","0.8675991652",">.99","44.78","-58.32 to 147.89","0.4066511903",">.99","-1.94","-85.06 to 80.99","0.9643828587",">.99"," 4.10","-78.95 to 87.09","0.9247843970",">.99","16.01","-87.64 to 119.54","0.7671758550",">.99","29.64","13.34 to 46.14","0.0006352913","0.00635291327036986","-5.97","-18.5 to 6.29","0.3557800497",">.99"
"moca_score_unadjusted","2.2264226242196","-0.126449061365712","-0.90","-6.11 to 4.31","0.7423924008",">.99","-4.66","-11.03 to 1.69","0.1620206028",">.99","-1.70","-6.84 to 3.44","0.5284040164",">.99","-2.03","-7.17 to 3.1","0.4508317109",">.99","-2.16","-8.51 to 4.18","0.5155675789",">.99","-2.01","-3.02 to -1.01","0.0001685422","0.00168542184052124"," 0.28","-0.48 to 1.04","0.4859337526",">.99"
"1","Intercept","agevisit Coef.","ApoE1","ApoE1","ApoE1","ApoE1","ApoE2","ApoE2","ApoE2","ApoE2","ApoE3","ApoE3","ApoE3","ApoE3","ApoE4","ApoE4","ApoE4","ApoE4","ApoE5","ApoE5","ApoE5","ApoE5","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","MAPT1","MAPT1","MAPT1","MAPT1"
