"","Random Intercept Std.","agevisit Est.","Coef.","CI","P","Pc","Coef..1","CI.1","P.1","Pc.1","Coef..2","CI.2","P.2","Pc.2","Coef..3","CI.3","P.3","Pc.3","Coef..4","CI.4","P.4","Pc.4","Coef..5","CI.5","P.5","Pc.5","Coef..6","CI.6","P.6","Pc.6","Coef..7","CI.7","P.7","Pc.7","Coef..8","CI.8","P.8","Pc.8","Coef..9","CI.9","P.9","Pc.9"
"animals","4.13290998843717","-0.211783986112069"," 0.62","-8.46 to 9.71","0.897122953",">.99","-5.04","-16.18 to 6.13","0.390828608",">.99","-0.20","-9.17 to 8.78","0.966112044",">.99","-2.38","-11.36 to 6.6","0.614458109",">.99","-6.17","-17.1 to 4.77","0.283160629",">.99","-2.68","-4.41 to -0.97","0.003288217","0.0328821692313097"," 1.82","-1.88 to 5.49","0.347963006",">.99"," 0.09","-1.23 to 1.43","0.891727768",">.99"," 0.30","-1.16 to 1.76","0.699605717",">.99"," 0.92","-1.04 to 2.9","0.373872919",">.99"
"letter_fluency","9.39950880303592","-0.310918837571472"," 2.16","-18.26 to 22.62","0.84030555",">.99"," 1.88","-23.15 to 26.97","0.88613589",">.99"," 1.58","-18.59 to 21.79","0.88173074",">.99","-1.93","-22.13 to 18.28","0.85548719",">.99","-9.82","-34.29 to 14.67","0.44431974",">.99","-3.48","-7.33 to 0.38","0.08610342","0.861034202828224","-3.48","-11.75 to 4.77","0.42207796",">.99"," 0.62","-2.35 to 3.6","0.68935315",">.99"," 1.03","-2.25 to 4.3","0.54978515",">.99"," 4.64","0.24 to 9.1","0.04644302","0.464430154686265"
"hvlt_total_recall","3.76995812229914","-0.200375285411748","-1.13","-9.53 to 7.28","0.79766527",">.99","-5.42","-15.74 to 4.93","0.31954077",">.99","-2.13","-10.41 to 6.19","0.62662716",">.99","-2.38","-10.67 to 5.94","0.58700784",">.99","-6.45","-16.61 to 3.72","0.22757164",">.99","-1.77","-3.37 to -0.17","0.03648998","0.364899790962108","-0.88","-4.32 to 2.52","0.62323190",">.99"," 0.40","-0.82 to 1.64","0.53369190",">.99","-0.37","-1.72 to 1","0.60878905",">.99"," 1.30","-0.53 to 3.13","0.17782986",">.99"
"hvlt_RDI","1.03136098187631","-0.0525735920874652","-0.24","-2.77 to 2.29","0.85968237",">.99","-0.31","-3.46 to 2.84","0.85268356",">.99","-0.56","-3.06 to 1.94","0.67159824",">.99","-0.78","-3.28 to 1.72","0.55668890",">.99","-2.15","-5.32 to 1","0.19610008",">.99","-0.60","-1.09 to -0.1","0.02208408","0.220840764480805"," 0.01","-1.04 to 1.06","0.99002204",">.99"," 0.37","-0.01 to 0.76","0.06405611","0.64056109538618"," 0.09","-0.33 to 0.51","0.68379030",">.99"," 0.14","-0.42 to 0.7","0.63442822",">.99"
"hvlt_trial4_correct","1.91055114618223","-0.0998489560465158","-0.58","-5.17 to 4.01","0.81124680",">.99","-3.14","-8.82 to 2.56","0.29546277",">.99","-1.05","-5.58 to 3.48","0.65976931",">.99","-1.03","-5.56 to 3.5","0.66679440",">.99","-4.20","-9.89 to 1.48","0.16007116",">.99","-0.96","-1.85 to -0.06","0.04148873","0.414887348775557"," 0.12","-1.78 to 2.01","0.90084080",">.99"," 0.69","0 to 1.38","0.05769771","0.576977087514902"," 0.67","-0.09 to 1.42","0.09494090","0.949409019739865"," 0.68","-0.33 to 1.69","0.20295347",">.99"
"jolo_total_correct","1.50730768081241","-0.0505375558666772"," 0.46","-3.11 to 4.02","0.80718090",">.99","-4.22","-8.64 to 0.2","0.07077952","0.70779517856981"," 0.56","-2.96 to 4.08","0.76424944",">.99","-0.18","-3.71 to 3.34","0.92187368",">.99"," 1.24","-3.16 to 5.64","0.59095947",">.99","-0.76","-1.46 to -0.07","0.03722030","0.37220296585972"," 1.52","0.04 to 2.98","0.05069469","0.506946871237082"," 0.07","-0.46 to 0.6","0.81531399",">.99","-0.16","-0.75 to 0.43","0.59981245",">.99"," 0.10","-0.69 to 0.89","0.81773317",">.99"
"wais_digit_symbol_score","9.08954664847742","-0.630051408596761"," -7.62","-27.12 to 11.89","0.457079835",">.99","-21.71","-45.58 to 2.17","0.084400443","0.844004433035365"," -7.48","-26.74 to 11.8","0.460169460",">.99","-10.77","-30.04 to 8.53","0.288154567",">.99","-15.11","-38.36 to 8.14","0.215885080",">.99"," -6.02","-9.7 to -2.38","0.001868454","0.0186845447192645","  2.49","-5.35 to 10.34","0.545376091",">.99","  0.94","-1.87 to 3.77","0.524934272",">.99"," -1.10","-4.22 to 1.99","0.497506095",">.99","  0.50","-3.71 to 4.71","0.822032343",">.99"
"letter_number_sequencing_total","1.74072859168381","-0.0882706807609812"," 0.11","-3.83 to 4.06","0.9590838772",">.99"," 0.17","-4.69 to 5.03","0.9480115318",">.99","-0.23","-4.13 to 3.67","0.9092747651",">.99","-0.67","-4.57 to 3.23","0.7433950371",">.99","-2.06","-6.85 to 2.74","0.4136076430",">.99","-1.33","-2.09 to -0.58","0.0008819147","0.00881914681905037","-0.03","-1.65 to 1.58","0.9713584652",">.99"," 0.16","-0.41 to 0.75","0.5900013668",">.99"," 0.08","-0.57 to 0.72","0.8150008681",">.99"," 0.76","-0.1 to 1.62","0.0929465628","0.929465627627911"
"trailsbminusa","35.0210536141855","2.15940123184647"," -7.58","-91.75 to 76.32","0.864229675",">.99"," 56.21","-48.07 to 160.33","0.306744617",">.99"," -2.91","-86.01 to 79.93","0.947008588",">.99","  2.88","-80.15 to 85.84","0.947519039",">.99"," 13.86","-90.28 to 117.87","0.800037640",">.99"," 29.65","13.45 to 46.17","0.000668517","0.00668516952320355","-23.24","-57.78 to 11.6","0.204105436",">.99"," -5.48","-18.26 to 6.93","0.407415508",">.99"," -3.86","-17.68 to 10.06","0.597114048",">.99"," -1.02","-19.57 to 17.56","0.917149075",">.99"
"moca_score_unadjusted","2.25112505652726","-0.126265645232751","-0.92","-6.14 to 4.29","0.7396107140",">.99","-4.45","-10.91 to 1.98","0.1915115942",">.99","-1.74","-6.89 to 3.41","0.5232374763",">.99","-2.09","-7.25 to 3.05","0.4424183934",">.99","-2.34","-8.74 to 4.04","0.4868283726",">.99","-2.01","-3.02 to -1.01","0.0001846516","0.00184651558048908","-0.44","-2.57 to 1.71","0.6947127872",">.99"," 0.28","-0.49 to 1.06","0.4938591002",">.99","-0.02","-0.87 to 0.84","0.9686876201",">.99"," 0.23","-0.91 to 1.38","0.7030897200",">.99"
"1","Intercept","agevisit Coef.","ApoE1","ApoE1","ApoE1","ApoE1","ApoE2","ApoE2","ApoE2","ApoE2","ApoE3","ApoE3","ApoE3","ApoE3","ApoE4","ApoE4","ApoE4","ApoE4","ApoE5","ApoE5","ApoE5","ApoE5","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","MAPT1","MAPT1","MAPT1","MAPT1","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192"
