"","Random Intercept Std.","agevisit Est.","Coef.","CI","P","Pc","Coef..1","CI.1","P.1","Pc.1","Coef..2","CI.2","P.2","Pc.2","Coef..3","CI.3","P.3","Pc.3","Coef..4","CI.4","P.4","Pc.4","Coef..5","CI.5","P.5","Pc.5","Coef..6","CI.6","P.6","Pc.6"
"animals","4.11500362937014","-0.24669482141955"," 0.08","-0.93 to 1.09","0.8801669",">.99","-0.21","-1.09 to 0.67","0.6485895",">.99","-1.54","-2.97 to -0.12","0.0361995","0.361994965199494","-0.72","-4.17 to 2.73","0.6858945",">.99"," 0.01","-0.92 to 0.95","0.9796298",">.99"," 0.18","-0.79 to 1.15","0.7220042",">.99"," 0.05","-1.28 to 1.37","0.9472025",">.99"
"letter_fluency","9.78190999858059","-0.281727515128669"," 0.39","-1.8 to 2.58","0.7284796",">.99"," 0.15","-1.77 to 2.07","0.8807332",">.99","-1.09","-4.15 to 1.97","0.4910134",">.99"," 2.83","-4.74 to 10.4","0.4689096",">.99","-0.37","-2.42 to 1.68","0.7265680",">.99","-0.38","-2.49 to 1.72","0.7223809",">.99"," 0.22","-2.67 to 3.11","0.8833702",">.99"
"hvlt_total_recall","3.85396786421087","-0.210082592722859"," 0.68","-0.24 to 1.6","0.1512540519",">.99","-0.18","-0.98 to 0.63","0.6648442822",">.99","-2.31","-3.61 to -1.02","0.0005614698","0.00561469829494124"," 1.34","-1.82 to 4.5","0.4104106877",">.99"," 0.58","-0.28 to 1.43","0.1923387598",">.99","-0.07","-0.95 to 0.81","0.8820815238",">.99","-0.09","-1.3 to 1.12","0.8842653590",">.99"
"hvlt_RDI","1.43065241114854","-0.0524045811268906","-0.06","-0.44 to 0.31","0.7370048",">.99"," 0.10","-0.23 to 0.42","0.5577990",">.99","-0.65","-1.18 to -0.12","0.0170295","0.170294999958154","-0.02","-1.28 to 1.25","0.9808185",">.99"," 0.00","-0.34 to 0.35","0.9836714",">.99"," 0.19","-0.16 to 0.55","0.2964852",">.99"," 0.35","-0.13 to 0.84","0.1603215",">.99"
"hvlt_trial4_correct","2.03550862378708","-0.111978197478487"," 0.01","-0.53 to 0.55","0.9759259",">.99","-0.06","-0.54 to 0.41","0.7960999",">.99","-0.65","-1.43 to 0.12","0.1024675",">.99"," 0.26","-1.58 to 2.1","0.7860626",">.99"," 0.21","-0.29 to 0.71","0.4196369",">.99","-0.06","-0.58 to 0.46","0.8252987",">.99"," 0.06","-0.65 to 0.77","0.8654562",">.99"
"jolo_total_correct","1.73795134079314","-0.0636125250017741","-0.06","-0.48 to 0.36","7.710372e-01",">.99","-0.26","-0.62 to 0.11","1.790525e-01",">.99","-1.31","-1.9 to -0.71","2.284727e-05","0.000228472684375386","-0.09","-1.54 to 1.35","9.024898e-01",">.99"," 0.03","-0.36 to 0.42","8.914892e-01",">.99","-0.22","-0.62 to 0.18","2.901536e-01",">.99"," 0.51","-0.04 to 1.06","7.474850e-02","0.747484985848893"
"wais_digit_symbol_score","9.1487658966367","-0.508833619382244"," 1.32","-0.77 to 3.4","0.220820351",">.99","-0.27","-2.1 to 1.55","0.773468811",">.99","-4.87","-7.79 to -1.95","0.001261103","0.0126110271818073","-5.22","-12.4 to 1.99","0.159118892",">.99","-0.06","-2 to 1.89","0.953919539",">.99"," 0.73","-1.27 to 2.73","0.478448458",">.99"," 1.50","-1.25 to 4.25","0.288590182",">.99"
"letter_number_sequencing_total","1.80316913076283","-0.0990953315112318"," 0.07","-0.37 to 0.51","0.753213181",">.99"," 0.07","-0.32 to 0.45","0.733237761",">.99","-0.88","-1.5 to -0.26","0.005744927","0.0574492718372053"," 0.53","-0.97 to 2.03","0.493115571",">.99"," 0.39","-0.02 to 0.8","0.065747806","0.657478061727042"," 0.05","-0.37 to 0.47","0.814208244",">.99"," 0.27","-0.3 to 0.85","0.359762557",">.99"
"trailsbminusa","44.6378423106592","2.34950508345165"," -5.62","-16.47 to 5.24","3.156687e-01",">.99","  0.06","-9.41 to 9.56","9.900672e-01",">.99"," 36.21","20.88 to 51.54","5.538134e-06","5.53813384051489e-05"," -7.20","-44.45 to 29.89","7.071626e-01",">.99"," -9.71","-19.83 to 0.37","6.254569e-02","0.625456901848707"," -6.68","-17.11 to 3.72","2.134658e-01",">.99","-13.39","-27.64 to 0.87","6.903225e-02","0.690322532004209"
"moca_score_unadjusted","2.7746762745371","-0.173883900386118","-0.02","-0.68 to 0.65","9.643927e-01",">.99","-0.41","-0.99 to 0.17","1.654336e-01",">.99","-1.92","-2.85 to -0.98","7.445724e-05","0.000744572449959729","-0.37","-2.64 to 1.91","7.525204e-01",">.99"," 0.21","-0.4 to 0.83","5.042232e-01",">.99"," 0.41","-0.22 to 1.05","2.071347e-01",">.99"," 0.61","-0.26 to 1.48","1.715019e-01",">.99"
"1","Intercept","agevisit Coef.","ApoE2","ApoE2","ApoE2","ApoE2","ApoE4","ApoE4","ApoE4","ApoE4","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","LRRK2_carrier1","MAPT1","MAPT1","MAPT1","MAPT1","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562191","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192","SNCA_rs3562192"
