"","Random Intercept Std.","agevisit Est.","Coef.","CI","P","Pc","Coef..1","CI.1","P.1","Pc.1","Coef..2","CI.2","P.2","Pc.2","Coef..3","CI.3","P.3","Pc.3","Coef..4","CI.4","P.4","Pc.4","Coef..5","CI.5","P.5","Pc.5","Coef..6","CI.6","P.6","Pc.6"
"animals","4.08227761497088","-0.251573751326456","-1.67","-5.33 to 2","0.37779543",">.99","-5.07","-9.98 to -0.15","0.04569618","0.456961824004244","-1.69","-5.23 to 1.84","0.35253190",">.99","-2.21","-5.83 to 1.41","0.23621641",">.99"," 0.20","-4.34 to 4.73","0.93271388",">.99","-1.55","-2.97 to -0.13","0.03427169","0.342716873130641","-0.01","-0.94 to 0.92","0.98672211",">.99"
"letter_fluency","9.68218225969049","-0.292416036058705"," -0.98","-8.92 to 6.96","0.80961971",">.99","-10.09","-20.75 to 0.57","0.06632864","0.663286402982078"," -1.98","-9.63 to 5.67","0.61544028",">.99"," -2.61","-10.44 to 5.23","0.51816166",">.99","  5.01","-4.87 to 14.88","0.32508902",">.99"," -1.14","-4.18 to 1.89","0.46602173",">.99"," -0.24","-2.27 to 1.78","0.81521902",">.99"
"hvlt_total_recall","3.82682289635038","-0.209737268050316"," 2.56","-0.78 to 5.91","0.1379383141",">.99"," 0.27","-4.21 to 4.76","0.9054839307",">.99"," 1.16","-2.06 to 4.39","0.4833988807",">.99"," 0.92","-2.38 to 4.23","0.5878816293",">.99"," 1.88","-2.26 to 6.03","0.3780040481",">.99","-2.35","-3.64 to -1.07","0.0004178685","0.00417868509189086"," 0.64","-0.21 to 1.49","0.1461483804",">.99"
"hvlt_RDI","1.42856421066066","-0.0530092080480611"," 0.68","-0.68 to 2.04","0.33287020",">.99","-0.35","-2.17 to 1.47","0.70849891",">.99"," 0.53","-0.78 to 1.84","0.43691601",">.99"," 0.73","-0.61 to 2.07","0.29067603",">.99"," 0.81","-0.87 to 2.49","0.34935999",">.99","-0.67","-1.2 to -0.14","0.01371354","0.137135424300837"," 0.01","-0.33 to 0.35","0.95624765",">.99"
"hvlt_trial4_correct","2.02448873840091","-0.111346474871014"," 1.57","-0.42 to 3.55","0.12550995",">.99"," 0.04","-2.61 to 2.69","0.97686407",">.99"," 1.14","-0.78 to 3.04","0.24927411",">.99"," 1.24","-0.72 to 3.2","0.21997490",">.99"," 0.99","-1.45 to 3.43","0.42939325",">.99","-0.68","-1.45 to 0.09","0.08874992","0.887499233952455"," 0.24","-0.26 to 0.74","0.35303752",">.99"
"jolo_total_correct","1.74455942868959","-0.0641316236358824"," 0.47","-1.08 to 2.01","0.5562023956",">.99","-0.93","-3 to 1.14","0.3838589646",">.99"," 0.32","-1.17 to 1.8","0.6776439333",">.99"," 0.06","-1.47 to 1.58","0.9441360727",">.99"," 0.61","-1.3 to 2.52","0.5365314196",">.99","-1.27","-1.87 to -0.67","0.0000391308","0.000391307982846874"," 0.09","-0.3 to 0.48","0.6666560801",">.99"
"wais_digit_symbol_score","9.13213634483375","-0.515028385735081","-0.44","-8.04 to 7.18","0.911571762",">.99","-6.15","-16.35 to 4.07","0.242663944",">.99","-2.36","-9.69 to 4.97","0.531794835",">.99","-3.03","-10.54 to 4.48","0.432917911",">.99"," 1.44","-8.02 to 10.89","0.767819036",">.99","-4.79","-7.71 to -1.88","0.001463781","0.0146378058348247","-0.03","-1.97 to 1.91","0.973700773",">.99"
"letter_number_sequencing_total","1.8032580535594","-0.100207014640393","-0.10","-1.71 to 1.5","0.89892223",">.99","-0.55","-2.7 to 1.6","0.61767626",">.99","-0.21","-1.75 to 1.34","0.79276386",">.99","-0.22","-1.8 to 1.37","0.78915892",">.99"," 0.49","-1.49 to 2.48","0.62856988",">.99","-0.88","-1.5 to -0.26","0.00572067","0.0572066952696072"," 0.40","0 to 0.81","0.05502689","0.550268859917488"
"trailsbminusa","44.6705644743249","2.39825744831029"," -0.39","-40.16 to 39.27","9.846258e-01",">.99"," 23.16","-30.08 to 76.35","3.985714e-01",">.99","  7.89","-30.42 to 46.12","6.890757e-01",">.99"," 10.93","-28.31 to 50.1","5.886808e-01",">.99","-15.72","-64.87 to 33.46","5.350969e-01",">.99"," 36.28","20.95 to 51.59","5.259891e-06","5.25989115071827e-05","-10.03","-20.12 to 0.03","5.388346e-02","0.538834583112445"
"moca_score_unadjusted","2.77727878356306","-0.173324100777842"," 1.18","-1.23 to 3.61","3.426758e-01",">.99"," 0.00","-3.24 to 3.25","9.989134e-01",">.99"," 0.88","-1.45 to 3.21","4.635932e-01",">.99"," 0.85","-1.54 to 3.24","4.908370e-01",">.99","-1.03","-4.02 to 1.98","5.074888e-01",">.99","-1.96","-2.89 to -1.02","5.267054e-05","0.000526705370212"," 0.20","-0.41 to 0.82","5.253321e-01",">.99"
"1","Intercept","agevisit Coef.","ApoE1","ApoE1","ApoE1","ApoE1","ApoE2","ApoE2","ApoE2","ApoE2","ApoE3","ApoE3","ApoE3","ApoE3","ApoE4","ApoE4","ApoE4","ApoE4","ApoE5","ApoE5","ApoE5","ApoE5","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","MAPT1","MAPT1","MAPT1","MAPT1"
