"","Random Intercept Std.","agevisit Est.","Coef.","CI","P","Pc","Coef..1","CI.1","P.1","Pc.1","Coef..2","CI.2","P.2","Pc.2","Coef..3","CI.3","P.3","Pc.3","Coef..4","CI.4","P.4","Pc.4","Coef..5","CI.5","P.5","Pc.5","Coef..6","CI.6","P.6","Pc.6","Coef..7","CI.7","P.7","Pc.7","Coef..8","CI.8","P.8","Pc.8","Coef..9","CI.9","P.9","Pc.9"
"animals","4.09689011318224","-0.251298557856268","-1.70","-5.37 to 1.97","0.36958615",">.99","-5.10","-10.01 to -0.18","0.04480491","0.448049142667702","-1.74","-5.27 to 1.81","0.34244260",">.99","-2.26","-5.88 to 1.37","0.22870928",">.99"," 0.21","-4.33 to 4.75","0.92776222",">.99","-1.54","-2.96 to -0.12","0.03600550","0.360055008026529","-0.74","-4.16 to 2.69","0.67785383",">.99"," 0.02","-0.92 to 0.95","0.97084308",">.99"," 0.24","-0.73 to 1.2","0.63311210",">.99"," 0.03","-1.29 to 1.34","0.96951312",">.99"
"letter_fluency","9.70690313617588","-0.29188842711202"," -0.97","-8.9 to 6.98","0.81387351",">.99","-10.03","-20.68 to 0.63","0.06878949","0.687894931831925"," -1.95","-9.61 to 5.71","0.62223944",">.99"," -2.58","-10.41 to 5.26","0.52466926",">.99","  4.98","-4.89 to 14.84","0.32895175",">.99"," -1.12","-4.16 to 1.91","0.47617504",">.99","  2.74","-4.75 to 10.25","0.47927965",">.99"," -0.30","-2.33 to 1.74","0.77860844",">.99"," -0.25","-2.34 to 1.84","0.81765873",">.99","  0.17","-2.7 to 3.04","0.91082539",">.99"
"hvlt_total_recall","3.83812925261974","-0.209556492553572"," 2.54","-0.8 to 5.9","0.1415654144",">.99"," 0.27","-4.22 to 4.76","0.9081682354",">.99"," 1.14","-2.08 to 4.37","0.4941904843",">.99"," 0.91","-2.39 to 4.23","0.5922625136",">.99"," 1.88","-2.26 to 6.03","0.3809023466",">.99","-2.33","-3.62 to -1.04","0.0004989648","0.00498964788931227"," 1.31","-1.83 to 4.45","0.4206928179",">.99"," 0.63","-0.22 to 1.48","0.1541239032",">.99","-0.07","-0.96 to 0.81","0.8713805778",">.99","-0.11","-1.32 to 1.09","0.8557108892",">.99"
"hvlt_RDI","1.43227583566081","-0.0524967418922791"," 0.67","-0.69 to 2.03","0.3430832",">.99","-0.33","-2.14 to 1.49","0.7265631",">.99"," 0.52","-0.79 to 1.83","0.4407058",">.99"," 0.70","-0.64 to 2.05","0.3100339",">.99"," 0.81","-0.86 to 2.49","0.3486598",">.99","-0.67","-1.2 to -0.14","0.0145127","0.145126964331777","-0.03","-1.29 to 1.23","0.9662962",">.99"," 0.01","-0.33 to 0.36","0.9474469",">.99"," 0.18","-0.18 to 0.54","0.3265550",">.99"," 0.33","-0.16 to 0.81","0.1934294",">.99"
"hvlt_trial4_correct","2.03367843721928","-0.111378912529001"," 1.58","-0.41 to 3.57","0.12277396",">.99"," 0.06","-2.6 to 2.71","0.96483079",">.99"," 1.16","-0.76 to 3.07","0.24220219",">.99"," 1.26","-0.71 to 3.22","0.21475562",">.99"," 0.99","-1.45 to 3.43","0.43188756",">.99","-0.68","-1.46 to 0.09","0.08861679","0.886167881681427"," 0.24","-1.6 to 2.07","0.80188419",">.99"," 0.23","-0.27 to 0.73","0.37654637",">.99","-0.09","-0.61 to 0.44","0.75007273",">.99"," 0.02","-0.69 to 0.73","0.95126770",">.99"
"jolo_total_correct","1.73711377140036","-0.0642744977381776"," 0.55","-0.99 to 2.08","4.876689e-01",">.99","-0.81","-2.88 to 1.24","4.452725e-01",">.99"," 0.44","-1.04 to 1.92","5.627790e-01",">.99"," 0.13","-1.39 to 1.65","8.662070e-01",">.99"," 0.59","-1.31 to 2.49","5.488416e-01",">.99","-1.31","-1.9 to -0.72","2.167255e-05","0.000216725462891274","-0.10","-1.54 to 1.33","8.902057e-01",">.99"," 0.04","-0.35 to 0.43","8.393910e-01",">.99","-0.21","-0.62 to 0.19","3.093911e-01",">.99"," 0.50","-0.06 to 1.05","8.159388e-02","0.81593881803198"
"wais_digit_symbol_score","9.14233881174709","-0.514064865000517","-0.39","-7.98 to 7.22","0.92082401",">.99","-6.04","-16.23 to 4.17","0.25142989",">.99","-2.25","-9.58 to 5.08","0.55187195",">.99","-3.07","-10.57 to 4.44","0.42873494",">.99"," 1.49","-7.95 to 10.92","0.75997703",">.99","-4.88","-7.79 to -1.96","0.00124631","0.0124631015170875","-5.28","-12.43 to 1.91","0.15445698",">.99"," 0.01","-1.94 to 1.95","0.99600298",">.99"," 0.82","-1.19 to 2.82","0.43017392",">.99"," 1.48","-1.26 to 4.22","0.29622848",">.99"
"letter_number_sequencing_total","1.80853654157007","-0.0997974130666355","-0.10","-1.71 to 1.5","0.899862713",">.99","-0.52","-2.67 to 1.63","0.640052157",">.99","-0.20","-1.75 to 1.35","0.804254504",">.99","-0.23","-1.81 to 1.36","0.782824009",">.99"," 0.49","-1.49 to 2.48","0.630532772",">.99","-0.88","-1.5 to -0.26","0.006132726","0.0613272580992347"," 0.53","-0.97 to 2.03","0.497270459",">.99"," 0.39","-0.01 to 0.8","0.062642822","0.626428222848307"," 0.06","-0.36 to 0.49","0.766480455",">.99"," 0.27","-0.3 to 0.85","0.358340574",">.99"
"trailsbminusa","44.5869011560864","2.37550549997624","  0.07","-39.58 to 39.6","9.972495e-01",">.99"," 22.16","-30.9 to 75.16","4.190622e-01",">.99","  8.00","-30.24 to 46.14","6.853920e-01",">.99"," 11.96","-27.16 to 51.03","5.539685e-01",">.99","-15.91","-64.83 to 33.07","5.297604e-01",">.99"," 36.06","20.75 to 51.34","6.133641e-06","6.13364050132289e-05"," -7.00","-44.14 to 29.91","7.148229e-01",">.99","-10.07","-20.17 to -0.02","5.376359e-02","0.537635903657965"," -7.22","-17.65 to 3.18","1.801258e-01",">.99","-13.43","-27.67 to 0.8","6.849254e-02","0.684925405240388"
"moca_score_unadjusted","2.78017473379973","-0.172399601199739"," 1.16","-1.25 to 3.58","3.517445e-01",">.99"," 0.04","-3.2 to 3.28","9.831331e-01",">.99"," 0.88","-1.45 to 3.21","4.673534e-01",">.99"," 0.80","-1.58 to 3.19","5.163263e-01",">.99","-1.01","-3.99 to 2","5.137877e-01",">.99","-1.95","-2.88 to -1.02","5.630611e-05","0.000563061087611159","-0.38","-2.64 to 1.89","7.456857e-01",">.99"," 0.21","-0.4 to 0.83","5.063629e-01",">.99"," 0.37","-0.27 to 1","2.669642e-01",">.99"," 0.57","-0.3 to 1.44","2.033438e-01",">.99"
