"","Estimate","Std. Error","t value","Pr(>|t|)","CI0","CI1"
"(Intercept)",38.1364531171463,4.49434084539613,8.48543856129919,5.07274876818281e-13,29.3275450601699,46.9453611741228
"GBA_carrier1",-5.44936159498432,2.04981264689669,-2.65846813036029,0.00934140127564315,-9.46699438290183,-1.4317288070668
"SNCA_rs3562191",-0.449548135717578,1.27753956070253,-0.351885882477382,0.725774741350452,-2.95352567469454,2.05442940325939
"SNCA_rs3562192",0.410881053343707,1.55627745513468,0.264015296236589,0.792392515081362,-2.63942275872027,3.46118486540768
"site",-0.474461565629245,1.27268643347105,-0.372803192641276,0.710201642443316,-2.9689269752325,2.02000384397401
"APOE_E41",-2.06457391699717,1.22070531506778,-1.69129591844412,0.0943597134673654,-4.45715633453001,0.328008500535667
"education",0.0414226527311059,0.198127754607081,0.209070419302201,0.834882018545156,-0.346907746298772,0.429753051760984
"MAPT1",-0.681815021035882,1.16143136711748,-0.587047190509464,0.558692396288327,-2.95822050058614,1.59459045851438
"gender1",-1.96265541004997,1.28274049185255,-1.53004869068683,0.129632748431618,-4.47682677408096,0.551515953981022
"ageAtOnset",-0.367584600994678,0.0515940821920766,-7.1245496649445,2.86465267240667e-10,-0.468709002091148,-0.266460199898208
