"","Estimate","Std. Error","t value","Pr(>|t|)","CI0","CI1"
"(Intercept)",36.0172743658139,7.02891532201911,5.12415824003235,1.91379134404853e-06,22.2406003346564,49.7939483969713
"GBA_carrier1",-5.97851936531986,2.11543852136258,-2.82613713655409,0.00590092984172304,-10.1247788671905,-1.8322598634492
"SNCA_rs3562191",-0.337986979310604,1.30481645806541,-0.259030285233926,0.796253214258344,-2.89542723711881,2.2194532784976
"SNCA_rs3562192",0.492926479092029,1.63228543644703,0.301985466564583,0.763418540876286,-2.70635297634415,3.69220593452821
"site",-0.684836825034164,1.31307096669348,-0.521553550725969,0.603370178021201,-3.25845591975338,1.88878226968505
"ApoE1",4.44558007197686,5.40487276740477,0.822513362162173,0.413141556711629,-6.14797055213649,15.0391306960902
"ApoE2",-0.576941773585677,6.14781145402535,-0.0938450663134632,0.925458404921258,-12.6266522234754,11.472768676304
"ApoE3",2.27157917722206,5.29347444363609,0.429128203301895,0.668941755060478,-8.10363073230469,12.6467890867488
"ApoE4",0.627832751475648,5.40103875942458,0.116242963518843,0.907740785018552,-9.95820321699652,11.2138687199478
"ApoE5",3.00966368814905,7.46161590042176,0.403352802973808,0.687725913373233,-11.6151034766776,17.6344308529757
"education",0.0531502617191311,0.203089354798358,0.261708752641923,0.79419435796614,-0.34490487368565,0.451205397123912
"MAPT1",-0.576800610055873,1.20817469763446,-0.47741490629229,0.63432150137852,-2.94482301741942,1.79122179730767
"gender1",-2.12969730172928,1.30113026346777,-1.63680560011971,0.105457466523106,-4.67991261812612,0.420518014667552
"ageAtOnset",-0.375309387398185,0.0532281298187001,-7.05095949597559,4.8592691216387e-10,-0.479636521842837,-0.270982252953533
